,price,neighbourhood_cleansed,latitude,longitude,room_type,bedrooms,bathrooms_number,accommodates,host_is_superhost,host_listings_count,host_response_rate,review_scores_rating,review_scores_cleanliness,number_of_reviews,reviews_per_month,minimum_nights,availability_365,instant_bookable,Shared_bath_status,host_tenure_years,amenities_count,region_geo,region_median_price,above_local_median
109,,Moabit Ost,52.51625,13.34267,Entire home/apt,1.0,1.0,2,False,1.0,,4.83,4.8,35,0.22,93,182,False,False,14.0,33.0,Moabit Ost,87.0,False
110,135.0,Prenzlauer Berg Südwest,52.53949,13.41615,Entire home/apt,0.0,1.5,2,True,1.0,100%,4.81,4.9,368,2.22,1,248,True,False,14.0,36.0,Prenzlauer Berg Südwest,144.0,False
111,137.0,Prenzlauer Berg Südwest,52.53237,13.41548,Entire home/apt,1.0,1.0,2,True,3.0,100%,4.86,4.84,789,4.8,3,150,False,False,14.0,27.0,Prenzlauer Berg Südwest,144.0,False
112,148.0,Karl-Marx-Allee-Süd,52.50977,13.44602,Private room,1.0,1.0,4,False,15.0,100%,4.43,4.27,227,1.65,1,343,True,False,14.0,20.0,Karl-Marx-Allee Süd,100.0,True
113,77.0,Karl-Marx-Allee-Süd,52.50977,13.44602,Private room,1.0,0.0,1,False,15.0,100%,3.59,3.72,29,0.25,1,240,True,False,14.0,17.0,Karl-Marx-Allee Süd,100.0,False
114,112.0,Karl-Marx-Allee-Süd,52.50977,13.44602,Private room,1.0,0.0,2,False,15.0,100%,4.27,4.17,306,2.37,1,352,True,False,14.0,19.0,Karl-Marx-Allee Süd,100.0,True
115,18.0,Karl-Marx-Allee-Süd,52.50977,13.44602,Shared room,1.0,0.0,3,False,15.0,100%,4.36,4.26,208,1.63,1,337,True,True,14.0,16.0,Karl-Marx-Allee Süd,100.0,False
116,20.0,Karl-Marx-Allee-Süd,52.50977,13.44602,Shared room,1.0,0.0,4,False,15.0,100%,4.3,4.22,77,0.56,1,358,True,True,14.0,16.0,Karl-Marx-Allee Süd,100.0,False
117,105.0,Baumschulenweg,52.44987,13.48777,Entire home/apt,1.0,1.0,4,False,1.0,100%,4.73,4.67,52,0.39,2,242,True,False,14.0,31.0,Baumschulenweg,82.5,True
118,157.0,Brunnenstr. Süd,52.53646,13.39858,Entire home/apt,1.0,1.0,3,False,1.0,100%,4.92,4.89,106,0.65,4,6,False,False,14.0,35.0,Brunnenstraße Süd,145.5,True
119,108.0,Helmholtzplatz,52.54424,13.42139,Entire home/apt,1.0,1.0,4,True,1.0,100%,4.96,4.94,278,1.98,2,51,False,False,14.0,69.0,Helmholtzplatz,119.0,False
120,90.0,Rudow,52.41975,13.48541,Entire home/apt,1.0,1.0,4,False,1.0,100%,4.98,4.95,59,0.39,3,275,False,False,14.0,33.0,Rudow,72.0,True
121,,Tempelhofer Vorstadt,52.49667,13.40044,Entire home/apt,1.0,1.0,4,False,1.0,,4.0,4.5,2,0.02,92,0,False,False,14.0,17.0,Tempelhofer Vorstadt,97.5,False
122,144.0,Halensee,52.49614,13.29501,Entire home/apt,2.0,1.5,5,True,1.0,100%,4.85,4.85,119,0.74,3,254,False,False,14.0,50.0,Halensee,84.0,True
123,,Moabit Ost,52.52032,13.35131,Entire home/apt,3.0,1.0,6,False,1.0,100%,4.7,4.69,59,0.37,92,0,False,False,14.0,48.0,Moabit Ost,87.0,False
124,,Prenzlauer Berg Süd,52.53373,13.42435,Entire home/apt,1.0,1.0,2,False,2.0,,4.78,4.87,54,0.34,92,88,False,False,13.0,4.0,Prenzlauer Berg Süd,125.0,False
125,74.0,Prenzlauer Berg Süd,52.53538,13.4296,Entire home/apt,1.0,,4,False,2.0,,4.79,4.87,62,0.41,92,0,False,False,13.0,4.0,Prenzlauer Berg Süd,125.0,False
126,68.0,Prenzlauer Berg Süd,52.52987,13.4268,Private room,1.0,1.0,2,True,1.0,100%,4.91,4.93,67,0.42,5,335,False,False,13.0,24.0,Prenzlauer Berg Süd,125.0,False
127,35.0,Prenzlauer Berg Nordwest,52.55381,13.40553,Private room,1.0,1.0,2,False,1.0,,4.95,4.96,302,1.83,25,93,False,False,14.0,51.0,Prenzlauer Berg Nordwest,97.0,False
128,172.0,Prenzlauer Berg Südwest,52.53961,13.41951,Entire home/apt,2.0,1.0,4,True,1.0,100%,4.87,4.87,377,2.3,4,221,True,False,13.0,29.0,Prenzlauer Berg Südwest,144.0,True
129,306.0,Schöneberg-Nord,52.496707916259766,13.356289863586426,Entire home/apt,3.0,2.0,8,True,1.0,100%,4.86,4.8,352,2.17,2,281,True,False,13.0,44.0,Schöneberg Nordost,85.0,True
130,144.0,Brunnenstr. Süd,52.53164,13.40554,Entire home/apt,1.0,1.0,2,True,2.0,100%,4.84,4.72,104,0.69,6,67,False,False,13.0,22.0,Brunnenstraße Süd,145.5,False
131,,Karl-Marx-Allee-Süd,52.5181,13.43261,Private room,,1.0,2,False,1.0,,4.64,4.64,91,0.66,92,0,False,True,13.0,10.0,Karl-Marx-Allee Süd,100.0,False
132,50.0,Friedenau,52.46353,13.34404,Entire home/apt,1.0,1.0,2,False,2.0,100%,4.75,4.88,422,2.61,2,229,False,False,14.0,19.0,Friedenau Ost,110.0,False
133,60.0,Friedenau,52.46411,13.34383,Entire home/apt,1.0,1.0,2,False,2.0,100%,4.78,4.89,172,1.06,2,245,False,False,14.0,18.0,Friedenau Ost,110.0,False
134,161.0,Brunnenstr. Süd,52.53392,13.40503,Entire home/apt,1.0,1.0,7,False,4.0,90%,4.58,4.54,292,1.77,1,306,False,False,13.0,37.0,Brunnenstraße Süd,145.5,True
135,140.0,Prenzlauer Berg Nord,52.54094,13.43602,Entire home/apt,0.0,1.0,4,True,11.0,100%,4.64,4.71,503,3.03,3,342,True,False,15.0,32.0,Prenzlauer Berg Nord,113.5,True
136,146.0,Prenzlauer Berg Nord,52.5429,13.43628,Entire home/apt,0.0,1.0,4,True,11.0,100%,4.66,4.79,506,3.06,3,335,False,False,15.0,23.0,Prenzlauer Berg Nord,113.5,True
137,,Neuköllner Mitte/Zentrum,52.48348,13.42909,Private room,,2.0,1,False,7.0,100%,4.5,4.47,168,1.02,2,0,False,True,13.0,10.0,Neuköllner Mitte/Zentrum,93.0,False
138,,Neuköllner Mitte/Zentrum,52.48348,13.42909,Private room,,2.0,3,False,7.0,100%,4.39,4.23,280,1.7,2,0,False,True,13.0,17.0,Neuköllner Mitte/Zentrum,93.0,False
139,62.0,Neuköllner Mitte/Zentrum,52.48348,13.42909,Private room,1.0,1.0,3,False,7.0,100%,4.37,4.28,322,1.97,2,6,False,True,13.0,30.0,Neuköllner Mitte/Zentrum,93.0,False
140,60.0,Prenzlauer Berg Südwest,52.5376,13.41004,Entire home/apt,1.0,1.0,2,False,1.0,,4.8,4.73,11,0.07,92,266,False,False,13.0,10.0,Prenzlauer Berg Südwest,144.0,False
141,85.0,Südliche Friedrichstadt,52.49885,13.40021,Entire home/apt,1.0,1.0,5,True,1.0,100%,4.5,4.68,490,2.97,2,323,False,False,13.0,29.0,Südliche  Friedrichstadt,125.0,False
142,84.0,Frankfurter Allee Süd FK,52.5135,13.45802,Entire home/apt,1.0,1.0,2,True,2.0,100%,4.92,4.94,543,3.85,1,295,True,False,13.0,33.0,Frankfurter Allee Süd FK,108.0,False
143,91.0,Prenzlauer Berg Südwest,52.53754,13.41968,Private room,1.0,1.0,2,True,2.0,100%,4.96,4.94,275,1.73,2,7,True,True,14.0,32.0,Prenzlauer Berg Südwest,144.0,False
144,62.0,Otto-Suhr-Allee,52.51837,13.31841,Entire home/apt,1.0,1.0,2,False,3.0,100%,4.0,4.0,6,0.05,92,219,False,False,14.0,45.0,Otto-Suhr-Allee/Kantstraße,104.0,False
145,,Brunnenstr. Nord,52.53936,13.39824,Entire home/apt,2.0,1.0,4,False,1.0,,4.92,5.0,24,0.15,2,0,False,False,13.0,13.0,Brunnenstraße Nord,150.0,False
146,30.0,Neue Kantstraße,52.50623,13.30163,Private room,1.0,1.0,2,True,1.0,100%,4.91,4.93,55,0.34,92,292,False,True,13.0,30.0,Altstadt Köpenick,113.0,False
147,56.0,Moabit Ost,52.52332,13.35737,Entire home/apt,1.0,1.0,2,False,1.0,,0.0,5.0,1,0.01,92,358,False,False,13.0,34.0,Moabit Ost,87.0,False
148,59.0,Blankenburg/Heinersdorf/Märchenland,52.57917,13.44359,Entire home/apt,2.0,1.0,6,True,1.0,100%,4.45,4.57,174,1.18,3,282,False,False,13.0,21.0,Blankenburg/Heinersdorf/Märchenland,68.0,False
149,116.0,nördliche Luisenstadt,52.5028,13.4374,Entire home/apt,1.0,1.0,2,True,1.0,100%,4.92,4.97,467,2.85,5,310,True,False,13.0,43.0,Nördliche Luisenstadt,97.0,True
150,,Tempelhofer Vorstadt,52.49211,13.42255,Entire home/apt,1.0,1.0,2,False,1.0,,5.0,4.78,9,0.06,92,0,False,False,13.0,10.0,Tempelhofer Vorstadt,97.5,False
151,120.0,Tempelhofer Vorstadt,52.49356460571289,13.412236213684082,Entire home/apt,1.0,1.0,4,True,2.0,100%,4.88,4.85,413,2.58,5,282,False,False,13.0,41.0,Tempelhofer Vorstadt,97.5,True
152,,Frankfurter Allee Süd FK,52.5088,13.4558,Entire home/apt,1.0,1.0,2,False,1.0,,4.63,4.07,16,0.11,92,0,False,False,14.0,21.0,Frankfurter Allee Süd FK,108.0,False
153,,Rixdorf,52.48184,13.44061,Entire home/apt,2.0,1.0,2,False,3.0,,4.8,4.94,56,0.34,180,0,False,False,13.0,12.0,Rixdorf,88.5,False
