,price,neighbourhood_cleansed,latitude,longitude,room_type,bedrooms,bathrooms_number,accommodates,host_is_superhost,host_listings_count,host_response_rate,review_scores_rating,review_scores_cleanliness,number_of_reviews,reviews_per_month,minimum_nights,availability_365,instant_bookable,Shared_bath_status,host_tenure_years,amenities_count,region_geo,region_median_price,above_local_median
2696,89.0,Tempelhof,52.45669,13.37745,Entire home/apt,0.0,1.0,2,True,51.0,98%,4.67,4.67,12,0.12,29,164,False,False,12.0,26.0,Tempelhof Nord,101.5,False
2697,,Altglienicke,52.40526,13.53903,Entire home/apt,2.0,1.0,4,False,1.0,,,,0,,92,0,False,False,10.0,13.0,Altglienicke,62.0,False
2698,180.0,West 2,52.61811,13.22689,Entire home/apt,3.0,1.5,6,False,2.0,100%,4.72,4.76,25,0.25,5,8,False,False,9.0,47.0,West 2 - Heiligensee/Konradshöhe,72.0,True
2699,98.0,Helmholtzplatz,52.54226,13.42562,Entire home/apt,1.0,1.0,2,False,1.0,80%,4.85,4.67,39,0.37,2,116,False,False,12.0,40.0,Helmholtzplatz,119.0,False
2700,,Neuköllner Mitte/Zentrum,52.47724,13.42737,Entire home/apt,2.0,1.0,3,False,1.0,,4.5,5.0,2,0.02,92,0,False,False,10.0,8.0,Neuköllner Mitte/Zentrum,93.0,False
2701,84.0,Tempelhofer Vorstadt,52.4929,13.41654,Entire home/apt,0.0,1.0,2,True,2.0,88%,4.77,4.89,173,1.61,3,285,False,False,9.0,18.0,Tempelhofer Vorstadt,97.5,False
2702,320.0,Moabit Ost,52.5337,13.3515,Entire home/apt,5.0,2.0,10,True,19.0,100%,4.92,4.93,276,2.59,2,256,False,False,9.0,33.0,Moabit Ost,87.0,True
2703,265.0,Alexanderplatz,52.52735,13.39497,Entire home/apt,3.0,1.0,3,False,1.0,,,,0,,92,365,True,False,10.0,11.0,Alexanderplatz,142.0,True
2704,125.0,Tempelhof,52.45881,13.37697,Entire home/apt,1.0,1.0,2,True,51.0,98%,4.75,4.5,4,0.62,29,166,False,False,12.0,27.0,Tempelhof Nord,101.5,True
2705,281.0,Moabit Ost,52.53426,13.35165,Entire home/apt,3.0,1.0,6,True,19.0,100%,4.9,4.9,249,2.36,2,303,False,False,9.0,36.0,Moabit Ost,87.0,True
2706,73.0,Prenzlauer Berg Südwest,52.53892,13.40863,Entire home/apt,1.0,1.0,2,False,1.0,,4.81,4.69,144,1.36,4,65,True,False,9.0,25.0,Prenzlauer Berg Südwest,144.0,False
2707,,Helmholtzplatz,52.54105,13.42124,Entire home/apt,2.0,1.0,2,False,1.0,,4.75,4.63,8,0.08,5,0,False,False,9.0,18.0,Helmholtzplatz,119.0,False
2708,60.0,Prenzlauer Berg Ost,52.52987,13.44547,Entire home/apt,1.0,1.0,4,True,7.0,100%,4.74,4.55,635,5.93,2,304,True,False,9.0,45.0,Prenzlauer Berg Ost,116.0,False
2709,312.0,Moabit West,52.533,13.32688,Entire home/apt,3.0,1.0,11,True,34.0,100%,4.92,4.94,277,2.59,2,278,True,False,13.0,41.0,Moabit West,92.0,True
2710,366.0,Neuköllner Mitte/Zentrum,52.48537,13.42457,Entire home/apt,3.0,2.0,6,True,8.0,100%,4.87,4.96,340,3.34,5,327,False,False,15.0,44.0,Neuköllner Mitte/Zentrum,93.0,True
2711,443.0,Neuköllner Mitte/Zentrum,52.48537,13.42457,Entire home/apt,3.0,2.0,6,True,8.0,100%,4.98,4.97,257,2.96,5,332,False,False,15.0,39.0,Neuköllner Mitte/Zentrum,93.0,True
2712,247.0,Moabit West,52.533,13.32688,Entire home/apt,2.0,1.0,10,True,34.0,100%,4.89,4.91,320,3.0,2,269,True,False,13.0,56.0,Moabit West,92.0,True
2713,237.0,Moabit West,52.533,13.32688,Entire home/apt,3.0,1.0,11,True,34.0,100%,4.93,4.97,320,2.99,2,293,True,False,13.0,57.0,Moabit West,92.0,True
2714,258.0,Moabit West,52.533,13.32688,Entire home/apt,2.0,1.0,10,True,34.0,100%,4.92,4.88,389,3.64,2,282,True,False,13.0,57.0,Moabit West,92.0,True
2715,90.0,Prenzlauer Berg Südwest,52.53864,13.40677,Private room,2.0,1.0,5,True,3.0,100%,4.92,4.95,91,0.85,1,2,False,False,12.0,42.0,Prenzlauer Berg Südwest,144.0,False
2716,284.0,Moabit West,52.533,13.32688,Entire home/apt,3.0,1.0,12,True,34.0,100%,4.9,4.94,327,3.06,2,302,True,False,13.0,56.0,Moabit West,92.0,True
2717,107.0,südliche Luisenstadt,52.49788,13.42398,Entire home/apt,1.0,1.0,4,True,5.0,100%,4.86,4.82,632,6.32,1,206,False,False,11.0,33.0,Südliche Luisenstadt,101.0,True
2718,108.0,Schöneberg-Nord,52.49077,13.36252,Private room,1.0,1.0,1,False,1.0,,5.0,4.9,10,0.09,92,176,False,False,9.0,20.0,Schöneberg Nordost,85.0,True
2719,,Neu Lichtenberg,52.50399,13.49918,Entire home/apt,1.0,1.0,2,False,1.0,,,,0,,92,0,False,False,10.0,10.0,Neu-Lichtenberg,101.0,False
2720,120.0,Tiergarten Süd,52.50637,13.34468,Private room,1.0,1.0,2,False,3.0,100%,4.9,4.82,117,1.11,1,1,True,True,12.0,34.0,Tiergarten Süd,139.0,False
2721,137.0,Prenzlauer Berg Südwest,52.53751,13.42317,Entire home/apt,2.0,1.0,6,False,8.0,100%,4.48,4.34,164,1.55,2,330,False,False,14.0,26.0,Prenzlauer Berg Südwest,144.0,False
2722,96.0,Prenzlauer Berg Südwest,52.53771,13.42268,Entire home/apt,1.0,1.0,5,False,8.0,100%,4.71,4.73,233,2.24,2,292,False,False,14.0,28.0,Prenzlauer Berg Südwest,144.0,False
2723,88.0,Prenzlauer Berg Südwest,52.53768,13.42229,Entire home/apt,1.0,1.0,3,False,8.0,100%,4.57,4.49,198,1.94,2,309,False,False,14.0,30.0,Prenzlauer Berg Südwest,144.0,False
2724,117.0,Helmholtzplatz,52.53961,13.4226,Entire home/apt,2.0,1.0,5,False,8.0,100%,4.64,4.6,245,2.4,2,291,False,False,14.0,30.0,Helmholtzplatz,119.0,False
2725,116.0,Helmholtzplatz,52.53946,13.42388,Entire home/apt,1.0,1.0,5,False,8.0,100%,4.49,4.56,179,1.69,2,322,False,False,14.0,29.0,Helmholtzplatz,119.0,False
2726,156.0,Prenzlauer Berg Süd,52.53792,13.42441,Entire home/apt,3.0,1.5,6,False,8.0,100%,4.65,4.53,328,3.08,2,302,False,False,14.0,29.0,Prenzlauer Berg Süd,125.0,True
2727,,Tempelhofer Vorstadt,52.49224,13.41315,Entire home/apt,2.0,1.0,2,True,2.0,100%,4.93,4.8,60,0.56,3,0,False,False,9.0,23.0,Tempelhofer Vorstadt,97.5,False
2728,52.0,Tempelhof,52.47728,13.37818,Entire home/apt,1.0,1.0,2,True,1.0,100%,4.82,4.77,780,7.33,1,243,True,False,9.0,33.0,Tempelhof Nord,101.5,False
2729,,Brunnenstr. Nord,52.53946,13.3997,Entire home/apt,1.0,1.0,2,False,1.0,0%,5.0,5.0,5,0.05,92,54,False,False,9.0,13.0,Brunnenstraße Nord,150.0,False
2730,,Tempelhof,52.47418,13.37143,Private room,,1.0,1,False,1.0,,4.55,4.27,11,0.1,92,0,False,False,10.0,14.0,Tempelhof Nord,101.5,False
2731,,Prenzlauer Berg Ost,52.53022,13.44466,Entire home/apt,1.0,1.0,2,False,1.0,,4.44,4.11,9,0.08,92,0,True,False,10.0,19.0,Prenzlauer Berg Ost,116.0,False
2732,126.0,Brunnenstr. Süd,52.5331,13.40236,Entire home/apt,0.0,1.0,2,False,9.0,97%,4.85,4.85,184,1.73,5,21,False,False,14.0,30.0,Brunnenstraße Süd,145.5,False
2733,,Schöneberg-Süd,52.48763,13.37248,Private room,,1.0,2,False,1.0,,5.0,5.0,2,0.02,92,0,False,True,11.0,12.0,Schöneberg Südost,103.0,False
2734,,Osloer Straße,52.56003,13.37129,Private room,,2.0,2,False,1.0,,4.83,4.0,6,0.06,92,0,False,True,13.0,28.0,Osloer Straße,85.0,False
2735,151.0,Alexanderplatz,52.53335,13.37946,Entire home/apt,1.0,1.5,2,False,1.0,,5.0,4.8,5,0.14,92,358,False,False,9.0,37.0,Alexanderplatz,142.0,True
2736,116.0,Brunnenstr. Nord,52.53984,13.40147,Entire home/apt,3.0,2.0,5,False,1.0,100%,,,0,,92,146,False,False,10.0,8.0,Brunnenstraße Nord,150.0,False
2737,,Südliche Friedrichstadt,52.50749,13.39705,Private room,,1.5,2,False,1.0,,4.33,4.67,3,0.03,92,0,True,True,10.0,13.0,Südliche  Friedrichstadt,125.0,False
2738,,Alexanderplatz,52.52517,13.4065,Private room,,1.0,1,False,1.0,,,,0,,92,0,False,True,11.0,11.0,Alexanderplatz,142.0,False
2739,,Frankfurter Allee Süd FK,52.51133,13.46156,Entire home/apt,1.0,1.0,2,False,1.0,,5.0,5.0,1,0.01,92,0,False,False,11.0,10.0,Frankfurter Allee Süd FK,108.0,False
2740,,Otto-Suhr-Allee,52.51802,13.30243,Private room,,1.0,2,False,1.0,,4.0,3.0,4,0.04,92,0,False,True,9.0,13.0,Otto-Suhr-Allee/Kantstraße,104.0,False
2741,,Prenzlauer Berg Ost,52.53679,13.442,Private room,,2.0,2,False,1.0,,5.0,5.0,2,0.02,92,0,False,False,9.0,10.0,Prenzlauer Berg Ost,116.0,False
2742,,Reuterstraße,52.48248,13.44006,Entire home/apt,1.0,1.0,2,False,1.0,,,,0,,92,0,False,False,9.0,11.0,Reuterstraße,90.0,False
2743,,Prenzlauer Berg Nord,52.55189,13.41484,Entire home/apt,1.0,1.0,3,False,2.0,,4.25,4.43,8,0.08,92,0,False,False,12.0,26.0,Prenzlauer Berg Nord,113.5,False
2744,79.0,Frankfurter Allee Süd FK,52.50577,13.46718,Private room,0.0,1.0,3,False,1.0,,,,0,,92,364,False,True,11.0,11.0,Frankfurter Allee Süd FK,108.0,False
2745,,Mariendorf,52.44104,13.38545,Entire home/apt,1.0,1.0,3,False,1.0,,5.0,5.0,1,0.02,92,0,False,False,9.0,9.0,Mariendorf Nord,97.5,False
2746,135.0,Tempelhofer Vorstadt,52.48985,13.38848,Entire home/apt,3.0,1.0,6,False,1.0,100%,4.9,4.55,40,0.38,4,120,False,False,10.0,16.0,Tempelhofer Vorstadt,97.5,True
2747,,nördliche Luisenstadt,52.50291,13.43339,Entire home/apt,1.0,1.0,2,False,1.0,,,,0,,92,0,False,False,12.0,10.0,Nördliche Luisenstadt,97.0,False
2748,,Reuterstraße,52.48749,13.4292,Private room,,1.0,2,False,1.0,,4.14,2.71,7,0.07,92,0,False,True,10.0,7.0,Reuterstraße,90.0,False
2749,,Brunnenstr. Süd,52.53555,13.40152,Entire home/apt,,1.0,4,False,1.0,,5.0,5.0,1,0.01,92,0,True,False,9.0,8.0,Brunnenstraße Süd,145.5,False
2750,,Kantstraße,52.50649,13.3139,Entire home/apt,2.0,1.0,2,True,1.0,,4.9,4.53,30,0.29,92,267,False,False,11.0,50.0,Altstadt Köpenick,100.0,False
2751,,Schöneberg-Süd,52.48199,13.35436,Entire home/apt,2.0,1.0,5,False,1.0,,5.0,5.0,2,0.02,92,0,False,False,9.0,7.0,Schöneberg Südost,103.0,False
2752,,Prenzlauer Berg Nord,52.55053,13.41816,Entire home/apt,1.0,1.0,4,False,1.0,,5.0,5.0,2,0.02,92,0,False,False,12.0,14.0,Prenzlauer Berg Nord,113.5,False
2753,,Prenzlauer Berg Nordwest,52.54821,13.40931,Entire home/apt,1.0,1.0,3,False,2.0,,4.8,4.4,5,0.05,100,0,False,False,13.0,10.0,Prenzlauer Berg Nordwest,97.0,False
2754,68.0,Neuköllner Mitte/Zentrum,52.46884,13.43992,Entire home/apt,1.0,1.0,4,True,11.0,100%,4.71,4.76,390,3.68,2,269,True,False,10.0,22.0,Neuköllner Mitte/Zentrum,93.0,False
2755,80.0,Alt  Treptow,52.491,13.45167,Private room,1.0,1.0,2,True,1.0,100%,4.88,4.85,120,1.13,1,96,False,True,9.0,10.0,Alt-Treptow,94.0,False
2756,,Prenzlauer Berg Nordwest,52.55115,13.41177,Private room,,1.0,1,False,1.0,,,,0,,92,0,False,True,11.0,10.0,Prenzlauer Berg Nordwest,97.0,False
2757,186.0,Neuköllner Mitte/Zentrum,52.46781,13.43172,Entire home/apt,1.0,1.0,3,False,2.0,,4.74,4.82,88,0.83,92,270,False,False,13.0,32.0,Neuköllner Mitte/Zentrum,93.0,True
2758,,Alt-Lichtenberg,52.52481,13.51275,Private room,,1.0,3,False,1.0,,,,0,,92,0,True,False,9.0,19.0,Alt-Lichtenberg,109.5,False
2759,,Tempelhofer Vorstadt,52.49211,13.42069,Private room,2.0,1.0,2,False,1.0,,,,0,,92,0,False,True,11.0,12.0,Tempelhofer Vorstadt,97.5,False
2760,,Rixdorf,52.47227,13.44612,Private room,2.0,1.5,2,False,3.0,,4.85,4.69,13,0.12,3,0,False,True,9.0,11.0,Rixdorf,88.5,False
2761,143.0,Tempelhofer Vorstadt,52.49543,13.39984,Entire home/apt,1.0,1.0,4,True,2.0,100%,4.87,4.83,284,2.67,5,314,False,False,13.0,42.0,Tempelhofer Vorstadt,97.5,True
2762,,Pankow Süd,52.5552,13.42017,Private room,,1.0,2,False,1.0,,4.85,4.97,33,0.31,92,0,False,False,9.0,7.0,Pankow Süd,83.0,False
2763,,Nord 2,52.60098,13.31089,Entire home/apt,,1.0,3,False,1.0,,4.83,5.0,6,0.06,92,0,True,False,10.0,16.0,Nord 2 - Waidmannslust/Wittenau/Lübars,73.0,False
2764,,Tempelhofer Vorstadt,52.4963,13.37996,Entire home/apt,,1.0,2,False,1.0,,,,0,,92,0,False,False,9.0,7.0,Tempelhofer Vorstadt,97.5,False
2765,320.0,Westend,52.51318,13.25831,Entire home/apt,4.0,2.0,5,True,1.0,100%,4.94,4.9,115,1.1,2,281,False,False,10.0,48.0,Westend,90.0,True
2766,100.0,Tempelhof,52.4566,13.38817,Entire home/apt,1.0,1.0,2,False,1.0,100%,5.0,5.0,2,0.02,92,53,False,False,13.0,46.0,Tempelhof Nord,101.5,False
2767,,Prenzlauer Berg Nord,52.54306,13.438,Entire home/apt,1.0,1.0,2,False,1.0,,5.0,5.0,1,0.01,92,0,False,False,8.0,5.0,Prenzlauer Berg Nord,113.5,False
2768,,Frankfurter Allee Süd FK,52.50013,13.4593,Private room,2.0,2.0,1,False,1.0,,4.0,4.33,3,0.03,92,0,False,True,11.0,14.0,Frankfurter Allee Süd FK,108.0,False
2769,,Plänterwald,52.48696,13.46342,Entire home/apt,2.0,1.0,4,False,1.0,,5.0,4.67,3,0.04,92,0,True,False,13.0,42.0,Plänterwald,90.5,False
2770,,Prenzlauer Berg Ost,52.52601,13.45492,Entire home/apt,2.0,1.0,4,False,1.0,,5.0,5.0,8,0.08,6,0,False,False,16.0,53.0,Prenzlauer Berg Ost,116.0,False
2771,,Alt  Treptow,52.48815,13.45405,Private room,,1.0,1,False,1.0,,4.94,4.94,32,0.3,92,0,False,True,11.0,28.0,Alt-Treptow,94.0,False
2772,89.0,Moabit Ost,52.52438,13.35316,Private room,1.0,1.0,2,True,4.0,100%,4.97,4.99,536,5.19,1,284,True,False,10.0,51.0,Moabit Ost,87.0,True
2773,,Alexanderplatz,52.51565,13.42249,Entire home/apt,1.0,1.0,2,False,1.0,,,,0,,92,0,False,False,9.0,11.0,Alexanderplatz,142.0,False
2774,389.0,Alexanderplatz,52.52438,13.40921,Entire home/apt,2.0,1.0,4,True,1.0,100%,4.87,4.8,159,1.82,3,258,False,False,8.0,18.0,Alexanderplatz,142.0,True
2775,37.0,Köpenick-Nord,52.46872,13.58635,Private room,1.0,1.0,2,True,2.0,100%,4.88,4.88,189,1.81,5,152,False,True,9.0,37.0,Köpenick Nord,64.0,False
2776,99.0,Mierendorffplatz,52.52655,13.2982,Entire home/apt,1.0,1.0,3,True,1.0,100%,4.93,4.91,218,2.07,2,12,False,False,8.0,46.0,Mierendorffplatz,99.0,False
2777,,Schöneberg-Nord,52.49795,13.35588,Private room,,1.5,2,False,1.0,,4.5,4.25,4,0.04,92,0,False,False,13.0,7.0,Schöneberg Nordost,85.0,False
2778,,nördliche Luisenstadt,52.50284,13.41575,Entire home/apt,1.0,1.0,2,False,2.0,100%,5.0,4.98,50,0.55,3,2,False,False,12.0,38.0,Nördliche Luisenstadt,97.0,False
2779,83.0,Tempelhofer Vorstadt,52.49313,13.41115,Private room,1.0,1.0,3,True,2.0,100%,4.95,4.94,126,1.21,1,293,False,True,9.0,50.0,Tempelhofer Vorstadt,97.5,False
2780,,Prenzlauer Berg Ost,52.5388,13.44463,Private room,,1.0,2,False,1.0,,,,0,,92,0,False,False,12.0,5.0,Prenzlauer Berg Ost,116.0,False
2781,,Alexanderplatz,52.50738,13.42125,Entire home/apt,3.0,2.0,6,False,1.0,,4.96,4.91,23,0.22,4,0,False,False,13.0,51.0,Alexanderplatz,142.0,False
2782,,Frankfurter Allee Nord,52.52598,13.4525,Private room,,1.0,2,False,1.0,,4.67,4.67,3,0.03,92,0,False,True,10.0,9.0,Frankfurter Allee Nord,104.5,False
2783,68.0,Moabit Ost,52.53431,13.34934,Private room,1.0,2.0,2,True,1.0,100%,4.94,4.94,154,1.48,2,1,False,True,12.0,19.0,Moabit Ost,87.0,False
2784,,Dammvorstadt,52.4521,13.57045,Entire home/apt,5.0,1.5,8,True,1.0,100%,4.8,4.76,101,0.98,4,0,False,False,12.0,57.0,Dammvorstadt,132.0,False
2785,122.0,Pankow Süd,52.55347,13.4194,Entire home/apt,1.0,1.0,2,False,1.0,100%,4.98,4.89,61,0.58,5,81,False,False,13.0,69.0,Pankow Süd,83.0,True
2786,115.0,Karl-Marx-Allee-Nord,52.51896,13.432,Entire home/apt,1.0,1.0,4,True,1.0,100%,4.78,4.81,306,2.9,3,331,True,False,8.0,38.0,Karl-Marx-Allee Nord,102.0,True
2787,,Tempelhofer Vorstadt,52.49294,13.39388,Entire home/apt,2.0,1.0,4,False,1.0,,4.54,4.68,35,0.34,92,0,False,False,8.0,9.0,Tempelhofer Vorstadt,97.5,False
2788,,Neuköllner Mitte/Zentrum,52.47,13.43265,Private room,,1.0,2,False,2.0,100%,4.94,4.84,82,0.81,4,0,False,True,10.0,15.0,Neuköllner Mitte/Zentrum,93.0,False
2789,,Reuterstraße,52.48269,13.43838,Entire home/apt,1.0,1.0,2,False,1.0,,4.96,4.96,23,0.22,92,0,False,False,11.0,19.0,Reuterstraße,90.0,False
2790,,Kantstraße,52.51081,13.31987,Entire home/apt,,1.0,3,False,1.0,,,,0,,92,0,False,False,10.0,12.0,Altstadt Köpenick,100.0,False
2791,150.0,Alexanderplatz,52.52617,13.40203,Entire home/apt,1.0,1.0,2,False,1.0,,4.88,4.95,42,0.4,92,263,False,False,14.0,23.0,Alexanderplatz,142.0,True
2792,,Neuköllner Mitte/Zentrum,52.47111,13.43966,Entire home/apt,1.0,1.0,2,False,1.0,,,,0,,92,0,False,False,15.0,7.0,Neuköllner Mitte/Zentrum,93.0,False
2793,285.0,südliche Luisenstadt,52.49786,13.43335,Entire home/apt,2.0,1.5,4,True,2.0,100%,4.96,4.88,25,0.28,4,15,False,False,14.0,23.0,Südliche Luisenstadt,101.0,True
2794,130.0,nördliche Luisenstadt,52.50132,13.41714,Entire home/apt,0.0,1.5,4,False,10.0,93%,4.75,4.59,392,3.7,2,48,False,False,14.0,20.0,Nördliche Luisenstadt,97.0,True
2795,,Tempelhofer Vorstadt,52.4913,13.38068,Private room,,1.0,1,False,1.0,,4.91,4.94,192,1.82,2,0,True,True,8.0,7.0,Tempelhofer Vorstadt,97.5,False
2796,,Schöneberg-Süd,52.49375,13.34572,Private room,1.0,1.0,2,False,1.0,,,,0,,92,0,False,False,9.0,9.0,Schöneberg Südost,103.0,False
2797,,Reuterstraße,52.48391,13.43285,Entire home/apt,1.0,1.0,4,False,1.0,,4.94,4.67,18,0.17,92,0,True,False,8.0,33.0,Reuterstraße,90.0,False
2798,108.0,Wedding Zentrum,52.55628,13.37589,Entire home/apt,1.0,1.0,4,False,3.0,80%,4.2,4.8,5,0.12,92,361,False,False,8.0,44.0,Wedding Zentrum,91.0,True
2799,146.0,Alexanderplatz,52.52347865601963,13.385477767922104,Entire home/apt,1.0,1.0,4,True,10.0,100%,4.81,4.78,236,2.24,3,341,False,False,11.0,27.0,Alexanderplatz,142.0,True
2800,,Südliche Friedrichstadt,52.49561,13.41527,Entire home/apt,,1.0,3,False,1.0,,,,0,,92,0,True,False,10.0,10.0,Südliche  Friedrichstadt,125.0,False
2801,1285.0,Tempelhof,52.46866,13.39204,Entire home/apt,14.0,8.5,16,True,14.0,100%,5.0,4.9,41,0.41,2,190,True,False,14.0,39.0,Tempelhof Nord,101.5,True
2802,147.0,Reuterstraße,52.49348274996541,13.424285242000272,Entire home/apt,2.0,1.0,4,False,1.0,,,,0,,92,269,False,False,13.0,17.0,Reuterstraße,90.0,True
2803,148.0,Südliche Friedrichstadt,52.50258,13.39151,Entire home/apt,1.0,1.5,2,True,19.0,100%,4.88,4.93,330,3.15,2,307,False,False,9.0,26.0,Südliche  Friedrichstadt,125.0,True
2804,118.0,nördliche Luisenstadt,52.50137,13.41688,Entire home/apt,1.0,1.0,4,False,10.0,93%,4.79,4.73,325,3.16,2,39,False,False,14.0,18.0,Nördliche Luisenstadt,97.0,True
2805,86.0,Frankfurter Allee Nord,52.52047,13.45161,Private room,1.0,1.0,2,False,1.0,100%,4.92,4.77,26,0.26,3,362,False,True,13.0,47.0,Frankfurter Allee Nord,104.5,False
2806,,Reuterstraße,52.48369,13.44124,Entire home/apt,2.0,1.0,3,False,1.0,,4.78,4.78,9,0.09,92,0,False,False,9.0,17.0,Reuterstraße,90.0,False
2807,,Brunnenstr. Süd,52.53057,13.40114,Entire home/apt,1.0,1.0,2,False,1.0,,,,0,,92,0,False,False,8.0,9.0,Brunnenstraße Süd,145.5,False
2808,90.0,Karl-Marx-Allee-Süd,52.5135,13.42495,Private room,1.0,1.0,1,False,1.0,75%,4.71,4.83,41,0.4,1,80,False,True,8.0,14.0,Karl-Marx-Allee Süd,100.0,False
2809,99.0,Blankenfelde/Niederschönhausen,52.58741,13.39189,Entire home/apt,2.0,1.0,5,True,2.0,100%,4.89,4.87,286,2.78,1,342,False,False,8.0,50.0,Blankenfelde/Niederschönhausen,98.0,True
2810,105.0,Helmholtzplatz,52.54512,13.41947,Entire home/apt,1.0,1.0,2,False,1.0,100%,4.79,4.71,28,0.27,10,173,False,False,8.0,24.0,Helmholtzplatz,119.0,False
2811,197.0,Müggelheim,52.40424,13.65893,Entire home/apt,3.0,2.0,7,True,1.0,100%,4.91,4.8,216,2.08,2,300,False,False,11.0,46.0,Müggelheim,136.0,True
2812,,Alt  Treptow,52.49272,13.44542,Entire home/apt,3.0,2.0,6,False,1.0,80%,5.0,4.97,31,0.31,5,5,False,False,13.0,33.0,Alt-Treptow,94.0,False
2813,71.0,nördliche Luisenstadt,52.50086,13.4421,Private room,0.0,1.0,2,True,2.0,100%,4.83,4.61,112,1.08,2,3,False,False,10.0,42.0,Nördliche Luisenstadt,97.0,False
2814,56.0,Frankfurter Allee Süd FK,52.49777,13.46146,Entire home/apt,1.0,1.0,3,False,2.0,0%,4.5,4.63,8,0.08,93,293,False,False,9.0,66.0,Frankfurter Allee Süd FK,108.0,False
2815,195.0,Regierungsviertel,52.50971,13.39089,Entire home/apt,2.0,1.0,6,True,7.0,100%,4.85,4.97,143,1.37,3,68,False,False,14.0,23.0,Regierungsviertel,159.0,True
2816,118.0,nördliche Luisenstadt,52.50147,13.41693,Entire home/apt,1.0,1.0,4,False,10.0,93%,4.8,4.79,350,3.32,2,50,False,False,14.0,18.0,Nördliche Luisenstadt,97.0,True
2817,99.0,Gatow / Kladow,52.49121,13.18206,Entire home/apt,2.0,1.0,4,False,3.0,100%,4.69,4.67,377,3.68,1,0,False,False,8.0,30.0,Gatow/Kladow,88.0,True
2818,118.0,nördliche Luisenstadt,52.50147,13.41668,Entire home/apt,1.0,1.0,4,False,10.0,93%,4.71,4.62,292,2.83,2,53,False,False,14.0,15.0,Nördliche Luisenstadt,97.0,True
2819,118.0,nördliche Luisenstadt,52.50152,13.41693,Entire home/apt,2.0,1.0,4,False,10.0,93%,4.63,4.61,267,2.6,2,41,False,False,14.0,24.0,Nördliche Luisenstadt,97.0,True
2820,,Frankfurter Allee Süd FK,52.50943,13.46278,Entire home/apt,1.0,1.0,3,False,1.0,,4.78,4.33,9,0.09,92,0,False,False,11.0,1.0,Frankfurter Allee Süd FK,108.0,False
2821,,Grunewald,52.48017,13.26479,Private room,2.0,2.0,2,False,1.0,,4.82,4.77,22,0.21,92,0,False,True,8.0,21.0,Grunewald,109.5,False
2822,,Tempelhofer Vorstadt,52.48904,13.39233,Entire home/apt,1.0,1.0,2,False,1.0,,,,0,,92,0,False,False,8.0,8.0,Tempelhofer Vorstadt,97.5,False
2823,,südliche Luisenstadt,52.49682,13.4392,Entire home/apt,1.0,1.0,2,True,5.0,100%,4.91,4.92,117,1.14,4,0,True,False,10.0,16.0,Südliche Luisenstadt,101.0,False
2824,216.0,nördliche Luisenstadt,52.503838,13.438722,Entire home/apt,1.0,1.0,2,True,1.0,100%,4.96,5.0,113,1.08,3,347,True,False,10.0,57.0,Nördliche Luisenstadt,97.0,True
2825,145.0,Schöneberg-Süd,52.48188,13.36246,Entire home/apt,2.0,1.0,4,True,1.0,100%,4.94,4.95,98,0.94,3,21,False,False,8.0,54.0,Schöneberg Südost,103.0,True
2826,,Frankfurter Allee Nord,52.51581,13.4705,Private room,,1.0,2,False,1.0,,5.0,5.0,1,0.01,92,0,False,False,10.0,25.0,Frankfurter Allee Nord,104.5,False
2827,294.0,Prenzlauer Berg Süd,52.53202,13.42343,Entire home/apt,1.0,1.0,5,True,9.0,100%,4.71,4.69,45,0.43,5,321,False,False,9.0,44.0,Prenzlauer Berg Süd,125.0,True
2828,,Neu Lichtenberg,52.505,13.48137,Private room,,1.0,2,False,1.0,,5.0,5.0,1,0.01,92,0,False,False,10.0,12.0,Neu-Lichtenberg,101.0,False
2829,,Neuköllner Mitte/Zentrum,52.46854,13.43276,Private room,2.0,1.0,1,False,2.0,,5.0,5.0,2,0.02,92,0,True,True,9.0,8.0,Neuköllner Mitte/Zentrum,93.0,False
2830,60.0,Pankow Süd,52.55638,13.41494,Entire home/apt,2.0,1.0,2,False,1.0,100%,5.0,4.89,19,0.18,160,124,False,False,8.0,42.0,Pankow Süd,83.0,False
2831,412.0,Kurfürstendamm,52.50499,13.31019,Entire home/apt,3.0,1.0,5,False,1.0,100%,4.97,5.0,38,0.37,7,356,False,False,9.0,60.0,Altstadt Köpenick,138.0,True
2832,79.0,Schöneberg-Süd,52.48123,13.33888,Entire home/apt,1.0,1.0,2,True,1.0,100%,4.88,4.74,405,4.0,5,42,False,False,9.0,46.0,Schöneberg Südost,103.0,False
2833,363.0,Moabit West,52.52513,13.32768,Entire home/apt,5.0,1.5,16,False,9.0,93%,4.47,4.3,179,1.75,1,315,False,False,10.0,49.0,Moabit West,92.0,True
2834,118.0,nördliche Luisenstadt,52.50179,13.41697,Entire home/apt,1.0,1.0,4,False,10.0,93%,4.82,4.74,229,2.23,2,66,False,False,14.0,15.0,Nördliche Luisenstadt,97.0,True
2835,102.0,Rahnsdorf/Hessenwinkel,52.42782,13.70485,Entire home/apt,2.0,1.0,5,False,3.0,100%,4.4,4.4,42,0.4,2,64,False,False,8.0,41.0,Rahnsdorf,100.0,True
2836,61.0,Pankow Zentrum,52.57628,13.42138,Private room,1.0,1.0,1,False,1.0,100%,4.95,4.89,19,0.19,7,265,False,True,8.0,40.0,Pankow Zentrum,115.0,False
